Date,Time,Voltage,SC_Current
14/10/2019,11:13:19,20.36,6.79
14/10/2019,11:16:18,20.38,5.46
14/10/2019,11:19:18,19.11,1.51
14/10/2019,11:22:18,19.79,1.98
14/10/2019,11:25:18,20.99,6.99
14/10/2019,11:28:18,19.79,2.80
14/10/2019,11:31:17,19.67,2.12
14/10/2019,11:34:17,19.71,1.87
14/10/2019,11:37:17,19.97,2.14
14/10/2019,11:40:17,20.55,4.01
14/10/2019,11:43:17,20.82,7.27
14/10/2019,11:46:16,20.30,0.01
14/10/2019,11:49:16,19.98,-0.01
14/10/2019,11:52:16,19.82,0.00
14/10/2019,11:55:16,19.80,-0.01
14/10/2019,11:58:16,18.88,2.05
14/10/2019,12:1:16,19.75,4.14
14/10/2019,12:4:15,19.24,1.57
14/10/2019,12:7:15,19.48,1.42
14/10/2019,12:10:15,19.96,1.95
14/10/2019,12:13:15,20.76,5.80
14/10/2019,12:16:15,20.45,6.50
14/10/2019,12:19:14,20.20,6.42
14/10/2019,12:22:14,19.91,0.00
14/10/2019,12:25:14,19.72,0.00
14/10/2019,12:28:14,19.83,-0.01
14/10/2019,12:31:14,18.62,-0.01
14/10/2019,12:34:14,18.89,1.56
14/10/2019,12:37:13,20.66,5.88
14/10/2019,12:40:13,19.30,1.55
14/10/2019,12:43:13,19.90,2.38
14/10/2019,12:46:13,20.27,4.02
14/10/2019,12:49:13,19.35,1.58
14/10/2019,12:52:12,19.94,2.31
14/10/2019,12:55:12,19.37,1.32
14/10/2019,12:58:12,19.58,1.59
14/10/2019,13:1:12,20.05,2.36
14/10/2019,13:4:12,20.96,5.56
14/10/2019,13:7:12,20.49,5.82
14/10/2019,13:10:11,19.12,2.17
14/10/2019,13:13:11,18.88,1.24
14/10/2019,13:16:11,19.22,1.08
14/10/2019,13:19:11,19.74,1.44
14/10/2019,13:22:11,20.74,5.35
14/10/2019,13:25:10,19.62,2.32
14/10/2019,13:28:10,20.26,3.40
14/10/2019,13:31:10,19.18,1.30
14/10/2019,13:34:10,19.30,1.09
14/10/2019,13:37:10,19.40,0.98
14/10/2019,13:40:10,19.26,0.74
14/10/2019,13:43:9,19.24,0.67
14/10/2019,13:46:9,19.41,0.72
14/10/2019,13:49:9,19.62,0.81
14/10/2019,13:52:9,20.76,2.02
